category,top_keys
意外事故,"[('事故', 14), ('航空', 13), ('騎士', 7), ('班機', 7), ('航班', 6), ('釜山', 6), ('人員', 6), ('法國', 6), ('高雄', 5), ('意外', 5), ('安全帶', 5), ('規定', 5), ('車輛', 4), ('交通', 4), ('飛機', 4), ('跑道', 4), ('高公局', 4), ('國道', 4), ('足球', 3), ('機車', 3), ('機師', 3), ('金海', 3), ('機場', 3), ('乘客', 3), ('時段性', 3), ('高乘載', 3), ('特技', 3), ('巡邏兵', 3), ('表演隊', 3), ('當地', 3), ('陸配', 3), ('鳳山區', 2), ('英國籍', 2), ('男子', 2), ('紀錄器', 2), ('教練', 2), ('台灣', 2), ('汽車', 2), ('畫面', 2), ('南韓', 2), ('尾翼', 2), ('英文', 2), ('日本', 2), ('札幌', 2), ('塔台', 2), ('後果', 2), ('事件', 2), ('旅客', 2), ('影響', 2), ('公路', 2), ('新臺幣', 2), ('罰鍰', 2), ('路人', 2), ('假期', 2), ('飛行隊', 2), ('時間', 2), ('訓練', 2), ('空軍', 2), ('飛行員', 2), ('原因', 1), ('傷勢', 1), ('生命', 1), ('大礙', 1), ('學院', 1), ('摩托車', 1), ('過路口', 1), ('大型', 1), ('卡車', 1), ('草地', 1), ('距離', 1), ('貨櫃車', 1), ('陽光', 1), ('笑容', 1), ('身材', 1), ('楠梓', 1), ('學校', 1), ('南華', 1), ('保華一路', 1), ('重型', 1), ('超黃燈', 1), ('發生地', 1), ('台88', 1), ('警方', 1), ('責任', 1), ('現場', 1), ('角度', 1), ('監視器', 1), ('足球學院', 1), ('外師', 1), ('方向', 1), ('車禍', 1), ('規範', 1), ('周遭', 1), ('車況', 1), ('奇葩', 1), ('賓士車', 1), ('水泥車', 1), ('卡輪底', 1), ('市區', 1), ('試車', 1)]"
突發事故,"[('業者', 16), ('行動電源', 13), ('商品', 11), ('旅客', 9), ('消費者', 9), ('標檢局', 8), ('北捷', 7), ('人員', 7), ('新聞網', 6), ('台北', 6), ('胡哲瑋', 6), ('政府', 6), ('事故', 6), ('現場', 5), ('產品', 5), ('記者', 4), ('歹徒', 4), ('畫面', 4), ('電商', 4), ('市場', 4), ('消防隊', 4), ('火勢', 4), ('捷運', 3), ('站務', 3), ('專員', 3), ('警方', 3), ('民眾', 3), ('危機', 3), ('狀況', 3), ('單位', 3), ('國道', 3), ('車速', 3), ('網路', 3), ('責任', 3), ('航空', 3), ('平台', 3), ('娃娃機', 3), ('管道', 3), ('來源', 3), ('標識', 3), ('情形', 3), ('燃氣', 3), ('機組', 3), ('火警', 3), ('台電', 3), ('國父', 2), ('紀念館站', 2), ('災難', 2), ('板南線', 2), ('忠孝', 2), ('情境', 2), ('車站', 2), ('演練', 2), ('公司', 2), ('反應', 2), ('五股段', 2), ('外線', 2), ('車道', 2), ('工程', 2), ('風險', 2), ('行動', 2), ('電源', 2), ('夜市', 2), ('權益', 2), ('人士', 2), ('標章', 2), ('台灣', 2), ('外殼', 2), ('原因', 2), ('規定', 2), ('標準局', 2), ('台中', 2), ('火力', 2), ('發電廠', 2), ('工地', 2), ('渠道', 2), ('港務', 2), ('盧逸峰', 1), ('復興', 1), ('站務員', 1), ('秩序', 1), ('復興站', 1), ('形象', 1), ('對比', 1), ('女性', 1), ('衛生紙', 1), ('舉動', 1), ('大學', 1), ('時期', 1), ('龍山寺站', 1), ('工讀生', 1), ('過程', 1), ('生活點滴', 1), ('溫度', 1), ('工作', 1), ('契機', 1), ('經驗', 1), ('意識，', 1), ('流程', 1), ('總經理', 1)]"
車禍事故,"[('圓環', 27), ('公館', 22), ('事故', 16), ('國道', 15), ('交通', 11), ('蔣萬安', 9), ('市府', 9), ('路口', 6), ('車道', 6), ('新聞', 5), ('道路', 5), ('問題', 4), ('地下道', 4), ('公車', 4), ('安全帶', 4), ('路人', 4), ('規定', 4), ('記者', 3), ('方案', 3), ('臉書', 3), ('陳學台', 3), ('標線', 3), ('規畫', 3), ('北市府', 3), ('議題', 3), ('車輛', 3), ('高公局', 3), ('乘客', 3), ('罰鍰', 3), ('仁武', 3), ('路段', 3), ('高雄', 3), ('男子', 3), ('里長', 2), ('臺北市', 2), ('行人', 2), ('市政', 2), ('會議', 2), ('工程', 2), ('自來', 2), ('動線', 2), ('市長', 2), ('建議', 2), ('台北', 2), ('市民', 2), ('柯文哲', 2), ('粉專', 2), ('台灣路', 2), ('劉冠頡', 2), ('肇事率', 2), ('民眾', 2), ('政策', 2), ('學者', 2), ('效益', 2), ('自來水幹管', 2), ('設計', 2), ('空間', 2), ('方式', 2), ('原文', 2), ('熱點', 2), ('交通部', 2), ('公路局', 2), ('公路', 2), ('傷害', 2), ('條例', 2), ('汽車', 2), ('新臺幣', 2), ('高乘載管制', 2), ('假期', 2), ('時段性', 2), ('高乘', 2), ('陸瓊娟', 2), ('田寮', 2), ('分隊', 2), ('現場', 2), ('設施物', 1), ('現況照', 1), ('林禾', 1), ('臺北', 1), ('約會', 1), ('熱點第一', 1), ('汽機車', 1), ('時候', 1), ('斷點', 1), ('蔣萬安請', 1), ('交通局', 1), ('決定', 1), ('水幹管', 1), ('車行', 1), ('整體', 1), ('李四川', 1), ('副市長', 1), ('林奕華', 1), ('民代', 1), ('謝文', 1), ('山區', 1), ('地議員', 1), ('地方', 1), ('照片', 1), ('四川', 1)]"
國道車禍,"[('國道', 18), ('車道', 10), ('車禍', 10), ('公車', 10), ('貨車', 9), ('路段', 8), ('現場', 7), ('客運', 6), ('事故', 5), ('警方', 5), ('車輛', 4), ('乘客', 4), ('十號', 4), ('雲林', 3), ('狀況', 3), ('狀態', 3), ('原因', 3), ('車頭', 3), ('新聞', 3), ('仁武', 3), ('零件', 2), ('內線', 2), ('衝擊力', 2), ('警消', 2), ('車流', 2), ('同行', 2), ('濃煙', 2), ('駕駛', 2), ('火勢', 2), ('民眾', 2), ('水線', 2), ('剎車', 2), (' 4車', 2), ('民視', 2), ('傷亡', 1), ('畫面', 1), ('周刊王', 1), ('1號', 1), ('南向', 1), ('交通', 1), ('人數', 1), ('情形', 1), ('文章', 1), ('老鼠', 1), ('天花板', 1), ('涓豆腐', 1), ('確診', 1), ('腸胃炎', 1), ('護理師', 1), ('牢騷', 1), ('薪水', 1), ('鼎泰', 1), ('人力', 1), ('銀行', 1), ('中國', 1), ('機場', 1), (' 網', 1), ('差異', 1), ('警廣', 1), ('路況', 1), ('資訊', 1), ('車尾', 1), ('時間', 1), ('影像', 1), ('事故車', 1), ('外線', 1), ('高公局', 1), ('人員', 1), ('消防隊', 1), ('單位', 1), ('消息', 1), ('中天新聞網', 1), ('北市', 1), ('東區', 1), ('女友', 1), ('靈堂', 1), ('律師', 1), ('翁立友', 1), ('緬甸', 1), ('國道1號', 1), ('三義', 1), ('交流道', 1), ('附近', 1), ('烈焰', 1), ('白色', 1), ('烈火', 1), ('車身', 1), ('大火', 1), ('影片', 1), ('希望', 1), ('事發', 1), ('一號', 1), ('苗栗', 1), ('義交流道', 1), ('泰安', 1), ('服務區', 1), ('駕駛座', 1), ('潘姓', 1), ('男子', 1), ('案情', 1)]"
重大車禍事故,"[('車禍', 23), ('貨車', 16), ('台南', 12), ('現場', 11), ('新聞', 11), ('仁德', 10), ('轎車', 8), ('國道', 7), ('醫院', 7), ('台南市', 6), ('蕭姓', 6), ('狀態', 5), ('原因', 5), ('砂石車', 5), ('警方', 4), ('男子', 4), ('大同路', 4), ('生命', 4), ('跡象', 4), ('意識', 4), ('民視', 4), ('事故', 4), ('駕駛', 4), ('駕駛座', 4), ('畫面', 4), ('乘客', 4), ('警消', 4), ('狀況', 3), ('人員', 3), ('台電', 3), ('工程車', 3), ('車體', 3), ('車流', 2), ('車道', 2), ('單位', 2), ('同行', 2), ('中心', 2), ('顏一軒', 2), ('黃彥翔', 2), ('仁德區', 2), ('鄭姓', 2), ('3段', 2), ('場面', 2), ('消防局', 2), ('三段', 2), ('役男', 2), ('轎車鏟', 2), ('機傷重', 2), ('司機傷重', 2), ('民視新聞', 2), ('引擎', 2), ('鄭男', 2), ('陳男均', 2), ('大礙', 2), ('原文', 2), ('司機', 2), ('兒子', 2), ('護子', 2), ('匯款', 2), ('騙局', 2), ('護理師', 2), ('薪資', 2), ('來源', 2), ('專家', 2), ('中鋼鋁', 2), ('關稅', 2), ('衝擊', 2), ('鋼價', 2), ('董座', 2), ('業者', 2), ('力道', 2), ('警廣', 1), ('路況', 1), ('資訊', 1), ('雲林', 1), ('路段', 1), ('車尾', 1), ('時間', 1), ('影像', 1), ('車輛', 1), ('零件', 1), ('內線', 1), ('事故車', 1), ('衝擊力', 1), ('外線', 1), ('高公局', 1), ('消防隊', 1), ('消息', 1), ('中天新聞網', 1), ('北市', 1), ('東區', 1), ('女友', 1), ('靈堂', 1), ('律師', 1), ('翁立友', 1), ('緬甸', 1), ('台中', 1), ('大甲', 1), ('交通', 1), ('意外', 1)]"
旅遊事故,"[('保險', 15), ('京畿道', 13), ('遊客', 10), ('韓國', 8), ('保障', 7), ('事故', 7), ('台東', 6), ('專案', 6), ('海外', 6), ('傳染病', 6), ('首爾', 5), ('民眾', 5), ('公司', 5), ('交通', 5), ('警方', 5), ('產險', 5), ('郵輪', 5), ('日籍', 5), ('外國', 4), ('生命', 4), ('台產', 4), ('方案', 4), ('班機', 4), ('婦人', 4), ('攝影', 3), ('公社', 3), ('國際', 3), ('旅客', 3), ('台東市', 3), ('青海路', 3), ('車輛', 3), ('原因', 3), ('國人', 3), ('旅平險', 3), ('日本', 3), ('疾病', 3), ('貨車', 3), ('車禍', 3), ('樂園', 2), ('始興河溝', 2), ('生態', 2), ('公園', 2), ('旅程', 2), ('期間', 2), ('費用', 2), ('海洋', 2), ('讀者', 2), ('蔡旻妤', 2), ('傳真', 2), ('黃姓', 2), ('意外', 2), ('客車', 2), ('駕駛', 2), ('警察', 2), ('分局', 2), ('文章', 2), ('旅遊險', 2), ('行李', 2), ('華南', 2), ('跡象', 2), ('池田', 2), ('自小客', 2), ('洪書瑱)', 1), ('面積', 1), ('地理', 1), ('狀況', 1), ('台灣', 1), ('遊程', 1), ('景點', 1), ('愛寶', 1), ('水原', 1), ('華城', 1), ('果川', 1), ('加平_', 1), ('伊甸園', 1), ('櫻花路', 1), ('京畿', 1), ('時刻', 1), ('洪書瑱', 1), ('洪書瑱) 位於', 1), ('周邊', 1), ('文化', 1), ('遺產', 1), ('美景', 1), ('娛樂', 1), ('設施', 1), ('水原華城', 1), ('晨靜樹木園', 1), ('愛寶樂園', 1), ('觀光區', 1), ('韓國國', 1), ('城市', 1), ('形象', 1), ('京畿道內因', 1), ('騷亂及', 1), ('社會', 1), ('醫療費', 1), ('韓圜', 1), ('人士', 1), ('專線', 1)]"
工安意外,"[('意外', 12), ('員工', 10), ('聚氯化鋁', 7), ('台南', 7), ('電鍍廠', 6), ('生命', 6), ('台南市', 6), ('現場', 5), ('消防局', 5), ('畫面', 5), ('跡象', 5), ('嗆傷', 4), ('工安', 4), ('氣體', 4), ('工廠', 4), ('中崙', 3), ('工業區', 3), ('吸入性', 3), ('原因', 3), ('醫院', 3), ('記者', 2), ('勞工局', 2), ('呼吸道', 2), ('灼傷', 2), ('成大', 2), ('漂白水', 2), ('工人', 2), ('人員', 2), ('傷者', 2), ('氯氣', 2), ('情況', 2), ('電鍍場', 1), ('公安', 1), ('吸入', 1), ('民眾', 1), ('盧萍珊', 1), ('毒氣', 1), ('症狀', 1), ('分隊', 1), ('身體', 1), ('奇美', 1), ('安南醫院', 1), ('規範', 1), ('台中市', 1), ('北屯區', 1), ('豪宅', 1), ('建案', 1), ('工地', 1), ('鋼架', 1), ('林昱孜', 1), ('廠房', 1), ('疑誤', 1), ('化學', 1), ('心跳', 1), ('雇主', 1), ('情形', 1), ('工廠工', 1), ('圖／', 1), ('三立', 1), ('新聞網', 1), ('轎車', 1), ('貨車', 1), ('屏東', 1), ('喪家', 1), ('鐵皮碳', 1), ('台南人', 1), ('行政區', 1), ('影響', 1), ('路標', 1), ('車頭', 1), ('身份', 1), ('意圖', 1), ('政府', 1), ('臉書', 1), ('周刊', 1), ('王CTWANT] ', 1), ('安定區', 1), ('起因', 1), ('林姓', 1), ('槽車', 1), ('化學品', 1), ('管道', 1), ('刺激性', 1), ('腐蝕性', 1), ('女性', 1), ('永康奇美', 1), ('安南', 1), ('林姓男子', 1), ('傷勢', 1), ('單位', 1), ('文章', 1), ('機車', 1), ('重傷', 1), ('校長', 1), ('賭債', 1), ('糾紛', 1), ('空氣槍', 1), ('煞KTV', 1)]"
北市事故,"[('分局', 129), ('組長', 62), ('警察', 61), ('警務', 61), ('大隊', 57), ('刑事', 43), ('副分局長', 43), ('隊長', 38), ('警務員', 38), ('督察室', 35), ('本局', 32), ('中心', 26), ('督察員', 24), ('專員', 23), ('股長', 23), ('勤務', 20), ('台中', 20), ('督察組', 19), ('交通', 18), ('偵查隊', 17), ('士林', 15), ('北投', 15), ('警察隊', 13), ('所長', 13), ('南港', 13), ('督察組組長', 13), ('秘書', 12), ('松山', 12), ('派出所', 12), ('序列', 11), ('中隊長', 11), ('秘書室', 11), ('保安科', 11), ('行政科', 11), ('內湖', 11), ('中正', 11), ('文山', 11), ('保安', 11), ('指揮', 11), ('萬華', 10), ('信義', 10), ('警察大隊', 10), ('新光', 10), ('百貨', 10), ('後勤科', 9), ('預防科', 9), ('工人', 9), ('捷運', 8), ('分局長', 8), ('主任', 8), ('中山', 8), ('民防組', 8), ('督察', 7), ('大同分局', 7), ('行政組', 7), ('大安', 7), ('新光三越', 7), ('美食街', 7), ('病房', 7), ('家屬', 7), ('第一', 6), ('偵查', 6), ('大同', 6), ('犯罪', 6), ('保防組', 6), ('北市', 6), ('縣市', 6), ('警政署', 5), ('第二', 5), ('預防組', 5), ('民防', 5), ('保防科', 5), ('少年', 5), ('人事室', 5), ('商場', 5), ('陳姓', 5), ('台北', 4), ('內政部', 4), ('第二分局', 4), ('企劃股', 4), ('新聞股', 4), ('副隊長', 4), ('防治科', 4), ('西園路', 4), ('法規室', 4), ('事故', 4), ('重慶北路', 4), ('關渡', 4), ('工作', 4), ('三越', 4), ('水電', 4), ('醫院', 4), ('職缺', 3), ('職務', 3), ('交通警察', 3), ('肅竊組', 3), ('刑事警察大隊', 3), ('防治組組長', 3), ('中正第一', 3), ('納股', 3)]"
全部,"[('分局', 132), ('警察', 64), ('組長', 62), ('警務', 61), ('大隊', 58), ('事故', 56), ('國道', 47), ('刑事', 43), ('副分局長', 43), ('交通', 40), ('隊長', 38), ('警務員', 38), ('車禍', 37), ('督察室', 35), ('現場', 33), ('本局', 32), ('中心', 30), ('貨車', 29), ('圓環', 27), ('專員', 26), ('督察員', 24), ('台中', 23), ('新聞', 23), ('股長', 23), ('人員', 22), ('公館', 22), ('意外', 21), ('台南', 21), ('勤務', 21), ('車道', 20), ('原因', 19), ('督察組', 19), ('警方', 18), ('業者', 18), ('畫面', 17), ('偵查隊', 17), ('生命', 16), ('航空', 16), ('乘客', 16), ('醫院', 16), ('保險', 16), ('車輛', 15), ('士林', 15), ('北投', 15), ('旅客', 14), ('規定', 14), ('民眾', 14), ('路段', 14), ('公車', 14), ('行動電源', 13), ('京畿道', 13), ('警察隊', 13), ('所長', 13), ('南港', 13), ('督察組組長', 13), ('台北', 12), ('狀況', 12), ('商品', 12), ('蔣萬安', 12), ('台南市', 12), ('秘書', 12), ('松山', 12), ('派出所', 12), ('高雄', 11), ('男子', 11), ('班機', 11), ('捷運', 11), ('跡象', 11), ('員工', 11), ('工人', 11), ('序列', 11), ('中隊長', 11), ('秘書室', 11), ('保安科', 11), ('行政科', 11), ('內湖', 11), ('中正', 11), ('文山', 11), ('保安', 11), ('指揮', 11), ('公司', 10), ('消費者', 10), ('記者', 10), ('消防局', 10), ('仁德', 10), ('遊客', 10), ('萬華', 10), ('信義', 10), ('警察大隊', 10), ('新光', 10), ('百貨', 10), ('單位', 9), ('高公局', 9), ('安全帶', 9), ('新聞網', 9), ('韓國', 9), ('市府', 9), ('駕駛', 9), ('轎車', 9), ('後勤科', 9)]"
